ID,Picture.B,HR.Skill.B,Picture.T,HR.Skill.T,Picture.VR,HR.Skill.VR
PJM02142023,1,14.29,2,16.67,3,13.33
PAW02142023,1,14.29,2,22.22,3,20
PIC02142023,1,7.14,2,11.11,3,6.67
PLB02142023,1,7.14,2,22.22,3,20
PLW02142023,1,7.14,2,22.22,3,46.67
PEV02142023,1,7.14,2,0,3,13.33
PKR02152023,1,7.14,2,38.89,3,6.67
PCY02152023,1,21.43,2,27.78,3,26.67
PJW02152023,1,14.29,2,16.67,3,26.67
PJS02152023,1,0,2,11.11,3,6.67
PCW02152023,1,35.71,2,22.22,3,40
PNM02152023,1,7.14,2,33.33,3,13.33
PGL02152023,1,35.71,2,33.33,3,40
PJH02212023,1,7.14,2,16.67,3,13.33
PRN02212023,1,7.14,2,5.56,3,6.67
PMH02212023,1,7.14,2,11.11,3,6.67
PSM02212023,1,14.29,2,33.33,3,13.33
PPB02212023,1,21.43,2,16.67,3,20
PZH02222023,1,14.29,2,44.44,3,33.33
PAH02222023,1,0,2,11.11,3,6.67
PBH02222023,1,0,2,5.56,3,6.67
PKB02222023,1,14.29,2,27.78,3,33.33
PEG02222023,1,14.29,2,5.56,3,13.33
PRS02222023,1,28.57,2,33.33,3,53.33
PVL02222023,1,28.57,2,27.78,3,53.33
PCH02232023,1,0,2,0,3,0
PCD02232023,1,14.29,2,16.67,3,20
PKK02232023,1,0,2,22.22,3,20
PMK02232023,1,14.29,2,38.89,3,6.67
PAF02232023,1,7.14,2,11.11,3,13.33
PJG02232023,1,35.71,2,55.56,3,46.67
PRP02232023,1,7.14,2,16.67,3,26.67
PAS03282023,1,0,2,16.67,3,26.67
PDQ03282023,1,0,2,11.11,3,13.33
PZD03282023,1,14.29,2,27.78,3,13.33
PCH03282023,1,0,2,22.22,3,6.67
PJG03282023,1,14.29,2,22.22,3,33.33
PMG03282023,1,7.14,2,44.44,3,40
PSK03282023,1,7.14,2,16.67,3,6.67
PIL03282023,1,7.14,2,11.11,3,20
PSM03292023,1,21.43,2,44.44,3,20
PBC03292023,2,16.67,3,13.33,1,7.14
PDG03292023,2,5.56,3,0,1,7.14
PAS03292023,2,11.11,3,13.33,1,7.14
PAA03292023,2,5.56,3,20,1,21.43
PWS03292023,2,11.11,3,13.33,1,0
PJD03292023,2,11.11,3,26.67,1,35.71
PBS03302023,2,11.11,3,13.33,1,7.14
PJR03302023,2,5.56,3,26.67,1,7.14
PKS03302023,2,22.22,3,13.33,1,14.29
PGB03302023,2,5.56,3,0,1,0
PGH03302023,2,5.56,3,26.67,1,7.14
PAS03302023,2,11.11,3,26.67,1,28.57
PJJ03302023,2,16.67,3,13.33,1,14.29
PTJ03302023,2,16.67,3,20,1,7.14
PFD04272023,2,11.11,3,6.67,1,7.14
PFS04272023,2,11.11,3,26.67,1,7.14
PSF04272023,2,11.11,3,40,1,0
PEM04272023,2,11.11,3,0,1,7.14
PEP04272023,2,0,3,0,1,0
PNK04272023,2,5.56,3,13.33,1,0
PJS04272023,2,33.33,3,26.67,1,21.43
PDJ05012023,2,16.67,3,33.33,1,42.86
PCS05012023,2,5.56,3,33.33,1,42.86
PAC05012023,2,5.56,3,26.67,1,21.43
PGH05012023,2,44.44,3,46.67,1,50
PSM05012023,2,5.56,3,53.33,1,28.57
PKS05012023,2,55.56,3,53.33,1,57.14
PDR05022023,2,11.11,3,26.67,1,7.14
PMB05022023,2,27.78,3,73.33,1,42.86
PRT05022023,2,16.67,3,26.67,1,35.71
PCF05022023,2,22.22,3,73.33,1,57.14
PFM05022023,2,38.89,3,33.33,1,28.57
PBH05032023,2,33.33,3,40,1,14.29
PKN05032023,2,0,3,26.67,1,35.71
PJH05032023,2,0,3,0,1,14.29
PSS05032023,2,22.22,3,20,1,28.57
PTK05032023,2,38.89,3,33.33,1,28.57
PLB05042023,2,11.11,3,40,1,21.43
PJO05042023,2,22.22,3,46.67,1,21.43
PDB05042023,2,33.33,3,40,1,42.86
PDS05042023,2,22.22,3,26.67,1,28.57
PTM05042023,2,33.33,3,53.33,1,35.71
PSA05052023,2,16.67,3,46.67,1,35.71
PCS05052023,2,16.67,3,13.33,1,14.29
PJE05052023,2,22.22,3,40,1,14.29
PRR05052023,2,27.78,3,53.33,1,42.86
PRL05052023,2,33.33,3,33.33,1,28.57
PTJ05082023,2,22.22,3,26.67,1,7.14
PSS05082023,2,11.11,3,26.67,1,14.29
PJH05082023,2,22.22,3,20,1,35.71
PCD05082023,2,33.33,3,20,1,7.14
PKF05082023,2,16.67,3,20,1,7.14
PCM05092023,2,16.67,3,40,1,21.43
PSE05092023,2,5.56,3,26.67,1,14.29
PAJ05092023,2,16.67,3,33.33,1,14.29
PPF05092023,2,22.22,3,33.33,1,7.14
PMW05102023,2,0,3,13.33,1,7.14
PDD05102023,2,22.22,3,13.33,1,7.14
PND05102023,2,16.67,3,33.33,1,14.29
PQR05102023,2,5.56,3,13.33,1,7.14
PKJ05702023,2,5.56,3,13.33,1,0
PJB05102023 ,2,11.11,3,6.67,1,7.14
PES05102023,2,27.78,3,26.67,1,14.29
PJA05112023,2,27.78,3,33.33,1,7.14
PMT05112023,2,11.11,3,6.67,1,21.43
PWF05112023,2,16.67,3,20,1,7.14
PCC05112023,2,16.67,3,6.67,1,7.14
PKS05112023,2,11.11,3,33.33,1,7.14
PNI05112023,2,22.22,3,20,1,7.14
PHM05112023,2,11.11,3,6.67,1,7.14
PAC05112023,2,50,3,40,1,21.43
PAR05122022,2,16.67,3,0,1,7.14
PMA05122023,2,16.67,3,26.67,1,14.29
PJL05122023,2,16.67,3,26.67,1,14.29
PEO05122023,2,16.67,3,20,1,21.43
PEM05122023,2,22.22,1,42.86,3,26.67
PAO05222023,2,38.89,1,50,3,46.67
PMC05222023,1,28.57,3,46.67,2,44.44
PCM05232023,1,21.43,3,46.67,2,22.22
PJL05232023,1,7.14,3,46.67,2,22.22
PJS05222023,3,33.33,1,21.43,2,27.78
PDJ05222023,3,40,1,35.71,2,33.33
PTK05302023,1,14.29,3,26.67,2,5.56
PMW05302023,1,21.43,3,26.67,2,16.67
PAA05302023,3,0,1,14.29,2,16.67
PBL05302023,3,13.33,1,14.29,2,16.67
PCH05302023,3,6.67,2,11.11,1,0
PMK05302023,3,13.33,2,27.78,1,28.57
PBH05302023,3,33.33,2,27.78,1,21.43
PLA05312023,1,14.29,3,0,2,5.56
PYT05312023,2,16.67,1,7.14,3,6.67
PHC05312023,2,5.56,1,14.29,3,26.67
PKI05312023,1,7.14,3,13.33,2,0
PNG05312023,3,0,1,7.14,2,5.56
PBS805312023,3,20,2,27.78,1,14.29
PJG06012023,1,7.14,3,13.33,3,13.33
PCO06012023,3,6.67,1,7.14,2,11.11
PDC06012023,3,6.67,2,5.56,1,7.14
PVL06012023,3,13.33,2,5.56,1,0
PLM06012023,3,0,2,0,1,7.14
PAN06012023,3,0,2,16.67,1,7.14
PAV06022023,2,16.67,1,21.43,3,33.33
PJO06022023,1,0,3,0,2,5.56
PCF06072023,2,0,1,0,3,0
PPL06072023,3,13.33,1,28.57,2,0
PLC06132023,1,35.71,3,46.67,2,33.33
PPQ06132023,1,21.43,3,26.67,2,11.11
PMP06132023,3,20,1,42.86,2,50
PRP06132023,3,20,1,21.43,2,22.22
PMD06132023,3,6.67,1,14.29,2,11.11
PJM06132023,3,13.33,2,22.22,1,7.14
PNM06132023,3,40,2,22.22,1,28.57
PMG06142023,2,11.11,1,21.43,3,6.67
PAE06142023,2,11.11,1,28.57,3,26.67
PJC06142023,2,5.56,1,21.43,3,26.67
PLS06142023,2,16.67,1,21.43,3,6.67
PJR06142023,2,22.22,1,35.71,3,33.33
PWD06142023,1,14.29,3,60,2,33.33
PMD06142023,3,13.33,1,14.29,2,33.33
PCP06142023,3,60,1,57.14,2,38.89
PDH06142023,3,6.67,2,0,1,7.14
PAP0615023,2,11.11,1,7.14,3,13.33
PDC06152023,2,16.67,1,35.71,3,40
PJS06152023,2,27.78,1,57.14,1,64.29
PDM06152023,1,25,3,33.33,2,33.33
PEP06152023,3,6.67,1,7.14,2,11.11
PSL06152023,3,13.33,2,22.22,1,21.43
PCC06152023,3,20,2,44.44,1,35.71
PJJ06152023,3,20,2,22.22,1,14.29
PMN06162023,2,5.56,1,28.57,3,33.33
PSM06162023,2,16.67,1,14.29,3,26.67
PRD06162023,1,28.57,3,26.67,2,38.89
PAQ06162023,3,33.33,1,21.43,2,33.33
PZW06162023,3,26.67,2,16.67,1,7.14
PBH06192023,2,22.22,1,21.43,3,40
PJD06192023,2,16.67,1,28.57,3,26.67
PTK06192023,1,7.14,3,53.33,2,33.33
PCA06192023,3,0,1,42.86,2,33.33
PNW06192023,3,33.33,1,21.43,2,16.67
PSS06192023,3,26.67,2,27.78,1,7.14
PBF06192023,3,13.33,2,33.33,1,28.57
PJS06202023,1,21.43,3,33.33,2,22.22
PEG06202023,1,21.43,3,13.33,2,0
PSM06202023,3,26.67,1,50,2,55.56
PDL06202023,3,0,1,7.14,2,5.56
PSP06202023,3,0,1,7.14,2,5.56
PMK06212023,2,16.67,1,7.14,3,46.67
PAU021 2023,1,7.14,3,20,2,5.56
PRG06212023,1,21.43,3,6.67,2,5.56
PAC06212023,1,14.29,3,13.33,2,5.56
PSG06212023,3,20,2,38.89,1,35.71
PKG06212023,3,6.67,2,11.11,1,7.14
PRO06212023 ,3,0,2,11.11,1,14.29
PZH06222023,1,7.14,3,20,2,11.11
PJH06222023,2,38.89,1,71.43,3,46.67
PJM06222023,2,11.11,1,14.29,3,20
PCE0622023,2,0,1,7.14,3,0
PRP06222023,3,6.67,1,21.43,2,33.33
PGC06222023,3,0,2,0,1,0
PHL06232022,1,0,3,6.67,2,5.56
PEO06232023,1,7.14,3,13.33,2,11.11
PAM06232023,1,14.29,3,40,2,16.67
PFA06232023,3,0,1,7.14,2,5.56
PAO06232023,3,0,2,0,1,0
PEL06242023,3,0,1,0,2,5.56
PXH06242023,3,6.67,2,5.56,1,7.14
PDN06272023,3,20,1,14.29,2,16.67
PCG06262023,2,16.67,1,50,3,60
PRS06262023,1,21.43,3,46.67,2,38.89
PAF06282023,1,0,3,0,2,0
PPF06262023,3,0,2,11.11,1,7.14
PEE06262023 ,3,20,2,16.67,1,14.29
PJA06272023,2,22.22,1,0,3,13.33
PFE06272023,3,13.33,1,14.29,2,22.22
PRL06272023,3,20,1,14.29,2,5.56
PEG06292023,2,5.56,1,14.29,3,6.67
PJM06292023,1,21.43,3,46.67,2,16.67
PLL06292023,3,6.67,2,16.67,1,21.43
PTL06302023,1,0,3,6.67,2,0
PJA06302023,3,0,2,5.56,1,14.29
